epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.009,1.95387,3.97017,2.04997,0.24151,0.37644,0.20973,0.06441,2.58926,2.12693,2.29977,0.000472669,0.000472669,0.000472669
2,1379.39,1.76028,1.79177,1.91033,0.52872,0.24226,0.17311,0.05788,2.81828,2.6325,2.52051,0.000942292,0.000942292,0.000942292
3,2027.95,1.69922,1.67558,1.85065,0.35421,0.4254,0.33915,0.10991,2.47052,1.8439,2.30222,0.00140518,0.00140518,0.00140518
4,2695.59,1.6661,1.64216,1.80821,0.31877,0.46693,0.35739,0.13715,2.1716,2.03502,1.80004,0.00139868,0.00139868,0.00139868
5,3409.07,1.60645,1.57142,1.77089,0.74945,0.43749,0.49314,0.20357,2.06255,1.63057,1.70706,0.00138858,0.00138858,0.00138858
6,4129.4,1.54573,1.47484,1.7078,0.77932,0.47668,0.52007,0.22492,1.97234,1.52397,1.54216,0.00137847,0.00137847,0.00137847
7,4868.31,1.50475,1.4562,1.68536,0.78806,0.47017,0.53521,0.20649,2.1509,1.56932,1.68188,0.00136837,0.00136837,0.00136837
8,5587.75,1.47552,1.39603,1.66811,0.73388,0.43046,0.46479,0.19266,2.02056,1.65014,1.62209,0.00135826,0.00135826,0.00135826
9,6201.69,1.48139,1.40453,1.66036,0.73822,0.47698,0.48332,0.21734,1.93575,1.63727,1.61115,0.00134816,0.00134816,0.00134816
10,6900.64,1.43386,1.36121,1.60795,0.4745,0.65649,0.59554,0.26575,1.8908,1.41066,1.53845,0.00133805,0.00133805,0.00133805
11,7665.05,1.44596,1.37898,1.6225,0.8612,0.49383,0.59287,0.25092,2.00188,1.32951,1.53864,0.00132795,0.00132795,0.00132795
12,8343.14,1.40569,1.29917,1.56418,0.49193,0.63459,0.57166,0.27241,1.84531,1.33144,1.43333,0.00131784,0.00131784,0.00131784
13,8993.81,1.39722,1.327,1.59236,0.52004,0.64478,0.59289,0.27525,1.85822,1.32408,1.41506,0.00130774,0.00130774,0.00130774
14,9626.27,1.36336,1.29952,1.54543,0.46925,0.63781,0.58089,0.28576,1.81647,1.28167,1.37916,0.00129763,0.00129763,0.00129763
15,10371.6,1.34806,1.25597,1.54213,0.55234,0.60911,0.60477,0.28368,1.84714,1.26173,1.4048,0.00128753,0.00128753,0.00128753
16,11016.6,1.34563,1.20526,1.54335,0.49885,0.58606,0.53697,0.25428,1.87114,1.44319,1.45108,0.00127742,0.00127742,0.00127742
17,11625.7,1.33527,1.23427,1.53655,0.49251,0.58304,0.53525,0.23965,1.91157,1.42528,1.49057,0.00126732,0.00126732,0.00126732
18,12389.1,1.34777,1.25186,1.533,0.5303,0.66189,0.61605,0.29515,1.8088,1.23208,1.37955,0.00125721,0.00125721,0.00125721
19,13095.2,1.375,1.22955,1.552,0.52227,0.60733,0.60337,0.29476,1.80325,1.25122,1.36171,0.00124711,0.00124711,0.00124711
20,13719.8,1.31934,1.18666,1.50907,0.61672,0.5891,0.62793,0.2935,1.80999,1.29198,1.37236,0.001237,0.001237,0.001237
21,14344.6,1.31252,1.19626,1.5077,0.55159,0.65544,0.63959,0.31089,1.77897,1.19509,1.29591,0.0012269,0.0012269,0.0012269
22,14934.4,1.31751,1.23189,1.50043,0.55927,0.65936,0.63385,0.30653,1.80209,1.20752,1.37028,0.00121679,0.00121679,0.00121679
23,15579.5,1.31688,1.17362,1.49988,0.64412,0.59072,0.6291,0.30245,1.85183,1.20155,1.36736,0.00120669,0.00120669,0.00120669
24,16319.3,1.29455,1.155,1.48049,0.57479,0.65946,0.6506,0.31785,1.78224,1.14509,1.34853,0.00119658,0.00119658,0.00119658
25,17058.9,1.26967,1.14654,1.47505,0.63789,0.62359,0.6544,0.31858,1.75685,1.18216,1.34933,0.00118648,0.00118648,0.00118648
26,17772.1,1.30282,1.14363,1.4919,0.53784,0.64303,0.62568,0.31015,1.76976,1.20501,1.32454,0.00117637,0.00117637,0.00117637
27,18476.7,1.29539,1.1204,1.47705,0.51242,0.6356,0.61761,0.31165,1.76643,1.17413,1.31754,0.00116627,0.00116627,0.00116627
28,19015,1.25363,1.10795,1.45947,0.53385,0.62895,0.61431,0.30708,1.78671,1.26145,1.36744,0.00115616,0.00115616,0.00115616
29,19667.6,1.24426,1.10368,1.45814,0.54858,0.68046,0.65398,0.33073,1.75224,1.11025,1.31629,0.00114606,0.00114606,0.00114606
30,20247.8,1.24942,1.09938,1.44589,0.62063,0.66095,0.66319,0.33518,1.737,1.13315,1.30559,0.00113595,0.00113595,0.00113595
31,20986.5,1.22889,1.10089,1.44243,0.5359,0.64463,0.62921,0.31421,1.78686,1.14617,1.34464,0.00112585,0.00112585,0.00112585
32,21665.8,1.26385,1.10549,1.4614,0.52677,0.6884,0.63953,0.32934,1.73603,1.10496,1.28458,0.00111574,0.00111574,0.00111574
33,22288.8,1.26882,1.0857,1.44763,0.5933,0.67647,0.65795,0.33214,1.73298,1.09066,1.28523,0.00110564,0.00110564,0.00110564
34,22922.6,1.22429,1.04799,1.43503,0.54414,0.68748,0.65722,0.32836,1.74312,1.09465,1.27635,0.00109553,0.00109553,0.00109553
35,23612.8,1.22772,1.04514,1.42267,0.58748,0.66638,0.66607,0.33554,1.7489,1.06601,1.27679,0.00108543,0.00108543,0.00108543
36,24265,1.20941,1.056,1.42001,0.58944,0.64193,0.66564,0.32947,1.7696,1.13284,1.30223,0.00107532,0.00107532,0.00107532
